19,38,53,43,32,45
17,8,7,28,37,59
41,57,19,31,23,22
21,53,26,55,48,16
18,16,34,15,28,51
2,24,20,12,41,57
26,43,33,50,9,56
9,11,51,22,25,35
36,30,13,5,58,42
11,60,38,22,58,43
3,4,38,11,8,36
25,55,2,6,7,24
58,3,8,26,1,20
1,41,58,59,21,34
42,56,59,41,11,38
31,45,50,33,14,26
55,21,45,27,2,19
42,47,21,41,50,40
28,22,56,47,44,60
14,23,20,6,46,48
42,33,56,43,6,13
6,11,55,21,17,36
6,45,47,60,42,14
4,18,50,29,29,31
13,24,60,24,36,30
14,53,54,10,23,45
53,53,23,43,27,36
7,13,30,56,27,30
20,21,27,60,43,38
4,20,13,52,16,22
52,57,38,52,43,4
16,22,46,42,10,28
51,6,17,56,19,32
49,57,43,48,15,43
45,34,6,35,41,24
50,43,36,20,23,10
39,16,10,18,19,48
38,55,15,13,43,19
28,11,2,4,15,57
19,54,15,19,29,58
27,41,15,55,47,42
31,47,11,1,59,5
47,40,12,7,19,44
24,17,40,59,16,12
42,28,48,55,55,26
28,45,25,33,52,50
21,55,6,35,52,15
27,12,34,34,17,1
33,22,43,12,24,14
29,56,1,28,46,31
22,32,21,38,5,15
14,15,4,3,33,57
37,28,57,53,38,27
31,34,59,15,15,57
59,54,57,32,33,52
46,10,35,54,11,44
22,58,4,11,47,26
19,36,32,52,11,10
40,10,33,6,19,29
33,37,20,45,17,17
8,39,40,22,35,28
48,52,39,22,18,39
16,30,30,28,59,23
40,55,8,22,20,43
47,34,32,8,40,42
58,29,39,35,17,8
45,18,15,14,3,40
48,15,34,32,47,9
33,48,17,2,59,25
53,44,20,32,14,31
12,43,20,21,22,52
6,16,32,35,53,57
7,50,28,31,47,45
56,3,28,31,47,30
23,20,21,60,57,55
17,48,27,7,59,34
19,48,52,38,15,59
23,55,43,28,44,11
34,52,31,11,12,26
37,60,12,36,4,51
3,46,6,14,12,29
48,25,23,56,3,10
17,19,36,43,13,8
27,25,19,28,7,40
7,56,7,2,17,39
54,25,56,40,6,13
12,55,13,22,22,14
53,48,12,55,22,23
52,57,52,34,58,27
44,1,21,14,32,2
45,3,52,31,50,35
41,50,24,28,49,45
11,39,41,29,53,1
44,6,1,33,29,5
26,26,24,55,45,12
56,46,22,19,36,25
11,20,11,43,38,10
60,53,8,22,44,25
42,58,49,29,21,38
20,22,59,15,16,12
46,49,13,43,9,12
46,55,39,45,22,29
56,9,41,31,32,46
13,20,45,49,21,51
12,51,38,25,15,58
46,57,10,25,16,50
3,9,55,37,2,38
55,14,55,43,41,7
50,39,35,8,1,25
55,6,34,2,54,48
14,2,13,23,59,18
30,32,19,24,50,45
40,34,33,32,39,28
38,58,55,59,24,50
2,37,33,17,11,55
43,40,44,53,7,24
24,47,18,40,51,24
31,35,25,14,53,14
21,39,59,57,29,33
51,1,31,14,48,17
55,33,38,43,37,58
43,46,4,1,32,50
13,11,26,57,30,47
8,51,51,41,42,3
35,60,16,56,58,20
44,4,23,20,41,58
2,4,22,46,25,54
38,22,27,26,17,30
31,26,20,9,10,56
14,46,53,49,12,11
29,58,59,41,46,12
46,26,45,50,1,32
19,19,16,54,11,3
13,6,50,46,48,47
31,47,45,49,56,27
34,55,56,14,32,24
32,48,53,7,16,48
56,18,49,11,48,56
27,46,34,15,7,7
15,41,49,19,4,51
39,48,43,4,40,51
34,35,3,15,41,39
10,43,14,55,54,53
11,15,46,39,1,27
41,3,7,47,29,60
58,19,50,29,35,34
34,4,31,51,58,32
36,57,51,15,42,16
55,55,35,36,20,12
4,19,37,37,5,52
25,53,50,51,37,22
39,49,22,34,1,6
52,19,10,25,36,15
10,23,9,60,7,52
52,46,29,33,32,5
7,51,40,49,25,25
14,57,5,40,45,53
22,46,51,11,58,4
33,13,26,30,28,45
7,6,26,44,27,48
13,56,50,14,37,33
25,6,42,60,48,47
58,36,6,9,52,39
16,4,58,20,2,50
37,60,38,14,30,55
44,2,14,58,49,11
1,32,48,59,2,54
32,43,52,32,52,43
40,43,39,55,24,54
15,59,13,37,41,60
9,50,53,10,15,34
10,21,7,13,53,47
5,59,14,7,21,55
47,55,48,47,47,60
56,47,47,38,51,14
55,22,57,55,44,1
17,48,57,3,41,45
34,18,4,28,22,2
44,43,15,56,59,40
2,50,44,2,17,16
11,43,29,19,59,51
41,26,30,11,11,5
26,6,60,47,19,37
59,10,37,23,56,4
59,28,16,8,35,48
55,6,7,60,38,26
59,26,57,52,30,36
52,42,40,21,22,23
10,46,10,8,4,54
42,54,36,5,46,24
25,1,34,23,15,3
44,33,35,23,31,3
55,16,33,22,54,43
2,16,45,60,13,33
26,45,46,16,15,7
37,45,16,49,9,5
45,30,35,13,23,44
18,22,59,52,4,33
60,26,53,23,21,41
12,59,15,51,40,4
57,23,58,29,47,33
27,24,54,9,29,58
