47,43,43,46,30,19
40,25,47,39,3,36
37,38,45,4,49,59
33,47,23,40,26,30
48,29,9,30,56,28
13,46,1,41,59,60
54,36,44,1,31,44
12,36,43,49,35,24
37,1,30,2,33,9
28,49,57,57,45,3
11,10,3,51,55,12
12,34,50,3,53,24
36,49,39,23,26,25
31,31,1,23,27,50
20,6,5,34,7,51
56,28,57,36,6,7
38,35,26,1,40,2
30,39,8,34,18,43
38,57,26,42,18,8
35,53,50,6,24,31
33,50,52,31,30,57
2,33,40,37,12,42
34,10,7,5,13,32
16,13,54,24,26,23
27,37,59,4,40,13
21,41,15,4,54,16
29,8,56,26,13,6
55,25,9,15,1,28
43,23,47,33,52,59
1,48,51,53,26,2
41,4,8,15,36,31
29,22,28,49,53,36
42,20,38,53,17,8
23,38,45,42,11,16
2,58,22,15,26,42
14,7,6,46,42,56
55,31,31,4,60,19
44,48,12,9,12,26
27,23,34,45,28,57
7,1,12,42,21,31
11,44,31,31,23,58
4,18,25,33,47,54
11,58,7,9,40,29
53,10,31,16,36,20
41,22,8,21,42,24
12,40,3,41,34,13
6,43,37,4,9,30
51,60,49,41,25,3
21,1,57,60,32,50
36,37,52,52,45,20
39,17,24,28,4,26
45,6,18,46,46,2
26,18,41,11,55,8
15,41,46,21,27,21
6,41,46,15,21,12
43,52,30,47,30,7
45,53,6,56,39,45
60,27,38,16,16,12
7,21,53,60,37,33
52,28,25,1,42,38
43,47,14,5,9,36
7,40,48,25,35,60
21,15,4,27,30,57
2,47,44,11,16,54
1,36,2,40,1,38
50,48,39,36,31,4
19,55,36,37,36,49
35,37,15,8,22,8
12,17,1,22,23,16
50,40,44,48,48,40
27,48,36,60,42,45
8,25,10,5,16,32
47,21,26,49,14,9
2,28,45,31,36,47
23,47,39,23,13,19
22,15,15,25,51,49
20,9,38,40,29,6
9,40,58,41,7,33
36,31,16,1,40,36
15,59,48,5,37,22
38,28,45,33,6,14
7,11,48,54,25,29
11,50,21,44,46,20
52,13,20,37,22,15
14,23,36,2,35,33
51,8,46,47,2,36
17,9,17,51,39,21
19,45,22,35,2,24
38,13,29,21,29,10
36,40,53,5,24,36
45,24,12,57,48,22
20,48,36,19,32,26
40,15,20,20,41,1
16,43,31,60,39,11
14,43,18,37,32,25
4,10,9,60,21,4
31,3,3,30,2,13
43,59,27,21,12,42
16,54,32,12,27,17
42,28,51,16,55,6
19,2,53,17,42,39
31,9,18,43,51,24
10,26,58,3,21,59
19,19,52,35,49,26
25,3,8,9,40,45
38,9,22,56,58,27
31,47,2,42,6,27
45,32,23,51,25,8
